dv,family,A,B,mean_A,mean_B,n_A,n_B,diff,se,ci_lo,ci_hi,z,p_raw,d,d_lo,d_hi,direction,p_holm,p_bh
CR2,clip-level,H3,HA1,5.7666666666666675,6.0,40,38,-0.23333333333333567,0.1894638825059695,-0.6046825430450359,0.13801587637836454,-1.2315451908148456,0.21811902570299468,-0.3034584692048456,-0.7500034717461515,0.14308653333646032,—,1.0,0.7682320197573037
CR2,clip-level,H3,HA2,5.7666666666666675,5.905982905982906,40,39,-0.13931623931623835,0.1882141071080554,-0.5082158892480269,0.22958341061555018,-0.7402008354042009,0.45917814076658636,-0.1669978513664114,-0.6088356470355824,0.2748399443027595,—,1.0,0.7682320197573037
CR2,clip-level,H3,HA3,5.7666666666666675,5.886178861788618,40,41,-0.11951219512195171,0.18587522647828714,-0.4838276390193945,0.2448032487754911,-0.6429700040522207,0.5202435636787889,-0.1446102108979109,-0.5807678223729863,0.29154740057716444,—,1.0,0.7682320197573037
CR2,clip-level,H3,A,5.7666666666666675,5.6388888888888875,40,36,0.12777777777777755,0.19214384421669065,-0.2488241568869361,0.5043797124424911,0.6650110405497867,0.5060434315057177,0.12883150280588893,-0.3219129841299291,0.5795759897417069,—,1.0,0.7682320197573037
CR2,clip-level,HA1,HA2,6.0,5.905982905982906,38,39,0.09401709401709733,0.19064358053971137,-0.2796443238407369,0.4676785118749316,0.49315635885003445,0.621902111232103,0.1444619855321308,-0.3028834003306348,0.5918073713948964,—,1.0,0.7682320197573037
CR2,clip-level,HA1,HA3,6.0,5.886178861788618,38,41,0.11382113821138397,0.18833487331047694,-0.25531521347715086,0.48295748989991877,0.6043550841683242,0.5456075910854711,0.17618776519130158,-0.2660192607308799,0.6183947911134831,—,1.0,0.7682320197573037
CR2,clip-level,HA1,A,6.0,5.6388888888888875,38,36,0.36111111111111327,0.19452424413652594,-0.02015640739647756,0.742378629618704,1.8563810013196562,0.06339927077813176,0.4291808305203132,-0.0318907295766096,0.8902523906172359,—,1.0,0.7682320197573037
CR2,clip-level,HA2,HA3,5.905982905982906,5.886178861788618,39,41,0.019804044194286635,0.18707755569581333,-0.34686796496950745,0.3864760533580808,0.10586007562814141,0.9156933710515202,0.027385471693837447,-0.411041411281251,0.46581235466892584,—,1.0,0.938712767682134
CR2,clip-level,HA2,A,5.905982905982906,5.6388888888888875,39,36,0.2670940170940159,0.19330718790860696,-0.11178807120685369,0.6459761053948856,1.3817076332427658,0.1670614896771001,0.2955305046489247,-0.1599368012786736,0.750997810576523,—,1.0,0.7682320197573037
CR2,clip-level,HA3,A,5.886178861788618,5.6388888888888875,41,36,0.2472899728997293,0.19103067450282815,-0.12713014912581386,0.6217100949252724,1.2945040033142334,0.19549138738321992,0.2764863999478229,-0.1733086874065336,0.7262814873021795,—,1.0,0.7682320197573037
OH1,clip-level,H1,H2,5.794871794871795,5.666666666666667,39,39,0.12820512820528537,0.19071969490500124,-0.24560547380851702,0.5020157302190877,0.6722175613228891,0.5014452026950538,0.14333366107342457,-0.3010884925516204,0.5877558146984696,—,1.0,0.9735163269576531
OH1,clip-level,H1,H3,5.794871794871795,5.758333333333333,39,40,0.03653846153861752,0.18952394835310013,-0.33492847723345875,0.40800540031069377,0.19279073624269946,0.8471228587963353,0.041733564818236236,-0.39938423286335595,0.48285136249982846,—,1.0,0.9735163269576531
OH1,clip-level,H1,HA1,5.794871794871795,5.815789473684211,39,38,-0.02091767881225864,0.19197032925547342,-0.3971795241529865,0.35534416652846923,-0.10896308243771083,0.9132317718833322,-0.024435831559021747,-0.471215638758989,0.4223439756409455,—,1.0,0.9735163269576531
OH1,clip-level,H1,HA2,5.794871794871795,5.777777777777778,39,39,0.017094017094173998,0.19071969490500124,-0.3567165849196284,0.3909046191079764,0.08962900817709804,0.9285820319817508,0.01972122824216705,-0.4241421581482386,0.46358461463257267,—,1.0,0.9735163269576531
OH1,clip-level,H1,HA3,5.794871794871795,5.788617886178862,39,41,0.006253908693089949,0.18837948732164975,-0.36296988645734357,0.37547770384352347,0.0331984590361034,0.9735163269576531,0.007495141444132523,-0.43091274385383027,0.44590302674209537,—,1.0,0.9735163269576531
OH1,clip-level,H1,A,5.794871794871795,5.518518518518516,39,36,0.276353276353435,0.1946524735068907,-0.10516557172007074,0.6578721244269408,1.4197265073215322,0.155687317962604,0.2911002394822942,-0.1642939924150711,0.7464944713796595,—,1.0,0.9037132132332762
OH1,clip-level,H2,H3,5.666666666666667,5.758333333333333,39,40,-0.09166666666666785,0.18952394835309874,-0.4631336054387414,0.2798002721054057,-0.48366798741384015,0.6286215158698394,-0.10923939093097385,-0.5506379728314685,0.33215919096952085,—,1.0,0.9735163269576531
OH1,clip-level,H2,HA1,5.666666666666667,5.815789473684211,39,38,-0.14912280701754402,0.19197032925547206,-0.5253846523582693,0.2271390383231812,-0.7768013296424209,0.4372759921792181,-0.18235501478215954,-0.6300455562401026,0.26533552667578353,—,1.0,0.9735163269576531
OH1,clip-level,H2,HA2,5.666666666666667,5.777777777777778,39,39,-0.11111111111111138,0.1907196949049999,-0.48492171312491117,0.2626994909026884,-0.5825885531457952,0.5601703130803173,-0.13394571363831512,-0.5782957423496752,0.310404315073045,—,1.0,0.9735163269576531
OH1,clip-level,H2,HA3,5.666666666666667,5.788617886178862,39,41,-0.12195121951219542,0.18837948732164833,-0.49117501466262614,0.24727257563823532,-0.647369951187785,0.5173925387531387,-0.15308227415709647,-0.5921298567764147,0.2859653084622218,—,1.0,0.9735163269576531
OH1,clip-level,H2,A,5.666666666666667,5.518518518518516,39,36,0.1481481481481496,0.19465247350688933,-0.23337069992535345,0.5296669962216527,0.7610904987698818,0.44660301506367006,0.1620827110403024,-0.2916644520904249,0.6158298741710296,—,1.0,0.9735163269576531
OH1,clip-level,H3,HA1,5.758333333333333,5.815789473684211,40,38,-0.057456140350876164,0.19078242133159481,-0.431389686160802,0.3164774054590497,-0.30116055740278547,0.7632920650043806,-0.07201705882914686,-0.5161594421529309,0.3721253244946372,—,1.0,0.9735163269576531
OH1,clip-level,H3,HA2,5.758333333333333,5.777777777777778,40,39,-0.019444444444443522,0.18952394835309877,-0.39091138321651714,0.35202249432763005,-0.10259623975444472,0.9182834273334072,-0.02400642768596499,-0.4650921069200234,0.4170792515480934,—,1.0,0.9735163269576531
